分佈,site_id,區/鄉,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
南,高雄市阿蓮區,阿蓮區,0.1892,0.653,41,53.7,0.752669176,0.694212945,0.609220466,0.508273326,0.314372212,0.348463016,0.573449854,0.782890365,0.743999331,0.759786328,12040
南,高雄市大寮區,大寮區,0.1899,0.6452,41,55.5,0.756274237,0.707202283,0.644352006,0.502298424,0.317246775,0.318149562,0.58652001,0.794110105,0.75806708,0.773011618,50697
南,高雄市大社區,大社區,0.2114,0.6505,41.6988,57.6,0.735047847,0.661641541,0.605520448,0.523792444,0.340100266,0.357196076,0.575827265,0.750693057,0.733239056,0.750319448,15511
南,高雄市大樹區,大樹區,0.1836,0.6456,43,55,0.769303671,0.70878644,0.625,0.533228702,0.304541915,0.321665189,0.599169036,0.792397661,0.753968254,0.763664189,18468
南,高雄市鳳山二,鳳山二,0.2457,0.6427,39.8213,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
南,高雄市鳳山一,鳳山一,0.287,0.6438,40.8703,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
南,高雄市岡山區,岡山區,0.2472,0.6517,40.063,59.9,0.757416709,0.709036045,0.647553832,0.460962808,0.306327517,0.310707558,0.618442873,0.802480647,0.770861306,0.786009581,46117
南,高雄市鼓山區,鼓山區,0.3296,0.6528,41,68,0.716483484,0.691064299,0.63712031,0.465294831,0.337952342,0.341717697,0.60403909,0.785365312,0.762558826,0.77535459,63042
南,高雄市湖內區,湖內區,0.2056,0.6608,41.7973,55.5,0.758276967,0.694937257,0.624990997,0.52103169,0.315325248,0.319193272,0.585070249,0.783660181,0.742814976,0.738893644,12901
南,高雄市茄萣區,茄萣區,0.17,0.6351,42.9426,49.9,0.758891556,0.707918235,0.632291284,0.529437482,0.310635391,0.345435049,0.559460333,0.756138934,0.726201122,0.743803681,12380
南,高雄市甲仙區,甲仙區,0.0966,0.6867,47,49.4,0.791633466,0.702746365,0.620238095,0.449068569,0.279098361,0.293189369,0.587273531,0.810012837,0.776184268,0.773304158,2337
南,高雄市林園區,林園區,0.1722,0.6426,40,58.7,0.752715536,0.689227047,0.617717153,0.52510747,0.315122519,0.331034034,0.606670734,0.789191377,0.746839389,0.766189248,29643
南,高雄市苓雅區,苓雅區,0.3271,0.6432,44,62.5,0.723890201,0.685654984,0.639485027,0.487590387,0.332695672,0.347270941,0.584508997,0.768969602,0.737720745,0.76106357,81881
南,高雄市六龜區,六龜區,0.0927,0.6791,48,51.1,0.793896155,0.707141428,0.608617234,0.456770628,0.289161554,0.299979326,0.597444089,0.774491294,0.76888412,0.740364252,4767
南,高雄市路竹區,路竹區,0.2323,0.667,40.55,57.6,0.7546672,0.689664929,0.616819782,0.49659727,0.317853755,0.329774812,0.584222937,0.780455666,0.75468374,0.763033379,23526
南,高雄市茂林區,茂林區,0.1057,0.5882,36,60,0.819905213,0.755348837,0.65088208,0.313488372,0.217757009,0.232514178,0.644084934,0.82974359,0.810754912,0.780638517,975
南,高雄市美濃區,美濃區,0.1569,0.7179,50,58.3,0.800371301,0.737917178,0.637539919,0.429678669,0.265836915,0.276827897,0.59674712,0.794548786,0.777719543,0.777375671,17464
南,高雄市彌陀區,彌陀區,0.157,0.6681,42,51.5,0.778924992,0.713824693,0.648032703,0.493734593,0.34452975,0.310041796,0.588307214,0.78147242,0.745308311,0.712171785,8992
南,高雄市那瑪夏區,那瑪夏區,0.1287,0.6455,33.6346,60.5,0.847619048,0.7855003,0.683155917,0.34688157,0.19179004,0.192910702,0.625,0.793998378,0.77310231,0.751639344,1233
南,高雄市楠梓區,楠梓區,0.2878,0.6492,38.9678,65.1,0.733080805,0.693721495,0.637003009,0.464431216,0.326197085,0.331739529,0.603354753,0.791334828,0.763821928,0.778238787,83876
南,高雄市內門區,內門區,0.0943,0.707,48,50.1,0.804517387,0.718386092,0.637452815,0.512211221,0.27860075,0.299469965,0.591494124,0.772257111,0.755792227,0.746313235,5414
南,高雄市鳥松區,鳥松區,0.3158,0.6603,43.6907,68.8,0.728849208,0.683791042,0.626551515,0.512198276,0.346982854,0.349498625,0.575669144,0.772661085,0.740224102,0.75883481,21976
南,高雄市旗津區,旗津區,0.1516,0.6362,42,52.5,0.729109275,0.700474081,0.643409641,0.577163875,0.327505828,0.352680808,0.571029133,0.754846893,0.731439047,0.736460786,11038
南,高雄市旗山區,旗山區,0.1643,0.667,46.5377,54.1,0.773378604,0.697118189,0.613969515,0.515472127,0.311635771,0.343228313,0.601245718,0.79062694,0.754087022,0.759979977,16110
南,高雄市前金區,前金區,0.3525,0.6464,48,63.8,0.722172009,0.681091317,0.631238447,0.506342275,0.335304724,0.346815772,0.578231293,0.759069908,0.737137654,0.741449758,13203
南,高雄市前鎮區,前鎮區,0.2602,0.641,42.3948,61.4,0.735746733,0.690653101,0.638843396,0.49539317,0.325431515,0.340015723,0.593389754,0.778379577,0.74851173,0.763823443,85669
南,高雄市橋頭區,橋頭區,0.2513,0.6595,42,61.2,0.751295597,0.698526037,0.645781034,0.550674316,0.321943973,0.338637094,0.575159059,0.773896353,0.744383897,0.759472542,18235
南,高雄市仁武區,仁武區,0.243,0.6553,39.2143,61.4,0.750388583,0.698087335,0.635516009,0.500639235,0.31855083,0.317477285,0.605658286,0.795762967,0.762859457,0.778181268,39792
南,高雄市三民二,三民二,0.3097,0.6355,40.782,63.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
南,高雄市三民一,三民一,0.2946,0.6424,45.8396,63.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
南,高雄市杉林區,杉林區,0.0889,0.6998,49,50.6,0.804296958,0.716033484,0.618387372,0.4797156,0.258431888,0.331487889,0.591144607,0.770901448,0.753616315,0.730887574,4282
南,高雄市桃源區,桃源區,0.1254,0.6319,36,58.4,0.833890215,0.746993525,0.669440592,0.298312466,0.223037832,0.209809264,0.618357488,0.814476886,0.786764706,0.758261934,1644
南,高雄市田寮區,田寮區,0.0973,0.7386,52.6228,49.9,0.806241873,0.703150912,0.617936925,0.577624136,0.310309278,0.311566516,0.605517736,0.773357664,0.725497421,0.741107444,2740
南,高雄市小港區,小港區,0.2329,0.6499,39.3147,61.9,0.739852326,0.69214737,0.62399179,0.495834372,0.328928364,0.341738481,0.593776803,0.785038078,0.753049986,0.777928061,71301
南,高雄市新興區,新興區,0.3596,0.6459,46,63.7,0.714539335,0.668797954,0.629709928,0.513907482,0.348235657,0.365052371,0.568065548,0.764601484,0.725846441,0.739354009,24792
南,高雄市鹽埕區,鹽埕區,0.2732,0.636,48,56.6,0.712107979,0.667337411,0.641175529,0.551431934,0.381667358,0.387973087,0.567149843,0.751023678,0.717566119,0.738446498,11234
南,高雄市燕巢區,燕巢區,0.1789,0.6613,43,54.6,0.756167447,0.699929428,0.628044906,0.501704111,0.305507497,0.319784774,0.606328349,0.793209414,0.752688987,0.761796389,13342
南,高雄市永安區,永安區,0.1972,0.6811,41.0721,54.9,0.764318088,0.69700333,0.60619469,0.488384805,0.298939929,0.329690605,0.602496329,0.77252907,0.730678466,0.756764706,6880
南,高雄市梓官區,梓官區,0.1905,0.6468,42,53.6,0.771727749,0.724354658,0.654716033,0.520527116,0.312547618,0.310639307,0.589507508,0.786683107,0.74300808,0.756788666,16220
