郵遞區號,區/鄉
100,中正區
104,中山區
106,大安區
116,文山區
115,南港區
114,內湖區
112,北投區
111,士林區
110,信義區
105,南京東
105,松山區
103,大同區
108,萬華區
220,板橋區
236,土城區
237,三峽區
239,鶯歌區
241,三重區
235,中和區
235,永和區
238,樹林區
234,永和區
221,汐止區
251,淡水區
252,三芝區
231,新店區
233,烏來區
223,石碇區
232,坪林區
233,石碇區
222,深坑區
242,新莊區
244,林口區
243,泰山區
224,瑞芳區
228,貢寮區
227,雙溪區
226,平溪區
247,蘆洲區
248,五股區
249,八里區
208,金山區
207,萬里區
253,石門區
330,桃園區
337,大園區
328,觀音區
338,蘆竹區
337,蘆竹區
335,大溪區
336,復興區
320,中壢區
326,楊梅區
327,新屋區
324,平鎮區
320,平鎮區
333,龜山區
334,八德區
325,龍潭區
302,竹北市
310,竹東鎮
311,五峰鄉
308,寶山鄉
315,峨眉鄉
314,北埔鄉
303,湖口鄉
304,新豐鄉
312,橫山鄉
307,芎林鄉
313,尖石鄉
305,新埔鎮
306,關西鎮
300,北區中
300,北區竹
300,北區湳
300,北區東
300,北區北
300,東區光
300,東區經
300,東區介
300,東區東
300,香山區
300,東區明
300,東區勝
360,苗栗市
362,頭屋鄉
367,三義鄉
363,公館鄉
366,銅鑼鄉
350,竹南鎮
356,後龍鎮
361,造橋鄉
360,後龍鎮
364,大湖鄉
369,卓蘭鎮
354,獅潭鄉
365,泰安鄉
357,通霄鎮
368,西湖鄉
358,苑裡鎮
351,頭份市
352,三灣鄉
353,南庄鄉
407,西屯區
403,西區三
403,西區精
403,西區民
400,中區成
400,中區中
404,北區太
404,北區天
404,北區三
404,北區中
404,北區雙
402,南區復
401,東區進
401,東區力
401,東區振
402,南區美
408,南屯區
406,北屯區
437,大甲區
438,外埔區
421,后里區
439,大安區
424,和平區
414,烏日區
434,龍井區
432,大肚區
423,東勢區
426,新社區
422,石岡區
436,清水區
435,梧棲區
433,清水區
433,沙鹿區
420,豐原區
427,潭子區
428,大雅區
429,神岡區
413,霧峰區
412,大里區
411,太平區
540,南投市
551,名間鄉
546,仁愛鄉
556,信義鄉
545,埔里鎮
544,國姓鄉
542,草屯鎮
541,中寮鄉
557,竹山鎮
558,鹿谷鄉
558,鹿谷鎮
552,集集鎮
553,水里鄉
555,魚池鄉
500,彰化市
502,芬園鄉
503,花壇鄉
526,芳苑鄉
528,芳苑鄉
526,二林鎮
525,竹塘鄉
527,大城鄉
521,北斗鎮
522,田尾鄉
523,埤頭鄉
524,溪州鄉
508,和美鎮
509,伸港鄉
507,線西鄉
505,鹿港鎮
504,秀水鄉
506,福興鄉
514,溪湖鎮
513,埔心鄉
516,埔鹽鄉
510,員林市
512,永靖鄉
515,大村鄉
520,田中鎮
530,二水鄉
511,社頭鄉
640,斗六市
651,北港鎮
